date,annee,jour,mois,heure,retours,prets,connexions_postes
2021-01-01,2021,1,1,11:00:00,5,0,0
2021-01-01,2021,1,1,12:00:00,1,0,0
2021-01-01,2021,1,1,13:00:00,3,0,0
2021-01-01,2021,1,1,16:00:00,3,0,0
2021-01-01,2021,1,1,18:00:00,2,0,0
2021-01-02,2021,2,1,09:00:00,10,9,4
2021-01-02,2021,2,1,10:00:00,76,39,4
2021-01-02,2021,2,1,11:00:00,103,104,8
2021-01-02,2021,2,1,12:00:00,70,19,6
2021-01-02,2021,2,1,13:00:00,108,190,16
2021-01-02,2021,2,1,14:00:00,158,301,28
2021-01-02,2021,2,1,15:00:00,182,264,37
2021-01-02,2021,2,1,16:00:00,202,366,24
2021-01-02,2021,2,1,17:00:00,109,264,4
2021-01-02,2021,2,1,18:00:00,9,4,0
2021-01-03,2021,3,1,06:00:00,1,0,0
2021-01-03,2021,3,1,10:00:00,1,0,0
2021-01-03,2021,3,1,11:00:00,7,0,0
2021-01-03,2021,3,1,13:00:00,9,0,0
2021-01-03,2021,3,1,16:00:00,10,0,0
2021-01-04,2021,4,1,07:00:00,3,0,0
2021-01-04,2021,4,1,08:00:00,6,0,0
2021-01-04,2021,4,1,09:00:00,4,0,0
2021-01-04,2021,4,1,11:00:00,59,0,0
2021-01-04,2021,4,1,15:00:00,2,0,0
2021-01-04,2021,4,1,17:00:00,7,0,0
2021-01-05,2021,5,1,08:00:00,13,0,0
2021-01-05,2021,5,1,09:00:00,77,11,12
2021-01-05,2021,5,1,10:00:00,115,125,20
2021-01-05,2021,5,1,11:00:00,100,129,13
2021-01-05,2021,5,1,12:00:00,108,86,13
2021-01-05,2021,5,1,13:00:00,113,129,14
2021-01-05,2021,5,1,14:00:00,183,143,34
2021-01-05,2021,5,1,15:00:00,149,165,19
2021-01-05,2021,5,1,16:00:00,142,175,12
2021-01-05,2021,5,1,17:00:00,154,186,9
2021-01-05,2021,5,1,18:00:00,26,38,2
2021-01-06,2021,6,1,06:00:00,1,0,0
2021-01-06,2021,6,1,08:00:00,38,0,0
2021-01-06,2021,6,1,09:00:00,34,8,4
2021-01-06,2021,6,1,10:00:00,169,179,9
2021-01-06,2021,6,1,11:00:00,169,135,11
2021-01-06,2021,6,1,12:00:00,174,65,5
2021-01-06,2021,6,1,13:00:00,186,270,12
2021-01-06,2021,6,1,14:00:00,331,171,29
2021-01-06,2021,6,1,15:00:00,268,357,24
2021-01-06,2021,6,1,16:00:00,257,289,20
2021-01-06,2021,6,1,17:00:00,143,164,7
2021-01-06,2021,6,1,18:00:00,14,76,2
2021-01-06,2021,6,1,19:00:00,20,0,0
2021-01-07,2021,7,1,08:00:00,8,0,0
2021-01-07,2021,7,1,09:00:00,36,30,8
2021-01-07,2021,7,1,10:00:00,62,43,6
2021-01-07,2021,7,1,11:00:00,78,66,7
2021-01-07,2021,7,1,12:00:00,61,60,7
2021-01-07,2021,7,1,13:00:00,55,70,8
2021-01-07,2021,7,1,14:00:00,76,52,16
2021-01-07,2021,7,1,15:00:00,35,92,22
2021-01-07,2021,7,1,16:00:00,105,107,13
2021-01-07,2021,7,1,17:00:00,144,89,26
2021-01-07,2021,7,1,18:00:00,33,61,2
2021-01-08,2021,8,1,08:00:00,9,0,0
2021-01-08,2021,8,1,09:00:00,22,6,3
2021-01-08,2021,8,1,10:00:00,124,105,13
2021-01-08,2021,8,1,11:00:00,125,92,18
2021-01-08,2021,8,1,12:00:00,40,79,11
2021-01-08,2021,8,1,13:00:00,63,55,8
2021-01-08,2021,8,1,14:00:00,63,50,26
2021-01-08,2021,8,1,15:00:00,115,95,17
2021-01-08,2021,8,1,16:00:00,183,66,13
2021-01-08,2021,8,1,17:00:00,148,106,9
2021-01-08,2021,8,1,18:00:00,15,36,2
2021-01-08,2021,8,1,19:00:00,8,0,0
2021-01-09,2021,9,1,08:00:00,20,0,0
2021-01-09,2021,9,1,09:00:00,90,36,4
2021-01-09,2021,9,1,10:00:00,174,192,5
2021-01-09,2021,9,1,11:00:00,341,335,16
2021-01-09,2021,9,1,12:00:00,105,270,9
2021-01-09,2021,9,1,13:00:00,181,106,10
2021-01-09,2021,9,1,14:00:00,247,375,34
2021-01-09,2021,9,1,15:00:00,473,430,34
2021-01-09,2021,9,1,16:00:00,289,480,21
2021-01-09,2021,9,1,17:00:00,230,264,13
2021-01-09,2021,9,1,18:00:00,77,180,4
2021-01-10,2021,10,1,10:00:00,6,0,0
2021-01-10,2021,10,1,11:00:00,8,0,0
2021-01-10,2021,10,1,15:00:00,1,0,0
2021-01-10,2021,10,1,18:00:00,1,0,0
2021-01-11,2021,11,1,07:00:00,3,0,0
2021-01-11,2021,11,1,09:00:00,11,0,0
2021-01-11,2021,11,1,11:00:00,5,0,0
2021-01-11,2021,11,1,12:00:00,6,0,0
2021-01-11,2021,11,1,14:00:00,2,0,0
2021-01-11,2021,11,1,15:00:00,5,0,0
2021-01-11,2021,11,1,16:00:00,1,0,0
2021-01-11,2021,11,1,17:00:00,1,0,0
2021-01-11,2021,11,1,18:00:00,13,0,0
2021-01-12,2021,12,1,08:00:00,11,0,0
2021-01-12,2021,12,1,09:00:00,52,17,5
2021-01-12,2021,12,1,10:00:00,65,86,12
2021-01-12,2021,12,1,11:00:00,53,83,7
2021-01-12,2021,12,1,12:00:00,149,77,5
2021-01-12,2021,12,1,13:00:00,139,116,13
2021-01-12,2021,12,1,14:00:00,159,110,29
2021-01-12,2021,12,1,15:00:00,88,134,22
2021-01-12,2021,12,1,16:00:00,79,88,18
2021-01-12,2021,12,1,17:00:00,80,131,14
2021-01-12,2021,12,1,18:00:00,60,51,14
2021-01-12,2021,12,1,19:00:00,3,0,0
2021-01-13,2021,13,1,07:00:00,1,0,0
2021-01-13,2021,13,1,08:00:00,4,0,0
2021-01-13,2021,13,1,09:00:00,34,89,4
2021-01-13,2021,13,1,10:00:00,174,122,8
2021-01-13,2021,13,1,11:00:00,120,169,14
2021-01-13,2021,13,1,12:00:00,74,61,14
2021-01-13,2021,13,1,13:00:00,151,140,11
2021-01-13,2021,13,1,14:00:00,230,156,32
2021-01-13,2021,13,1,15:00:00,232,284,26
2021-01-13,2021,13,1,16:00:00,215,102,18
2021-01-13,2021,13,1,17:00:00,105,141,17
2021-01-13,2021,13,1,18:00:00,118,126,2
2021-01-13,2021,13,1,19:00:00,2,0,0
2021-01-14,2021,14,1,06:00:00,1,0,0
2021-01-14,2021,14,1,08:00:00,32,0,0
2021-01-14,2021,14,1,09:00:00,11,1,6
2021-01-14,2021,14,1,10:00:00,102,24,11
2021-01-14,2021,14,1,11:00:00,87,81,8
2021-01-14,2021,14,1,12:00:00,31,39,11
2021-01-14,2021,14,1,13:00:00,62,64,5
2021-01-14,2021,14,1,14:00:00,118,55,21
2021-01-14,2021,14,1,15:00:00,102,59,9
2021-01-14,2021,14,1,16:00:00,36,69,13
2021-01-14,2021,14,1,17:00:00,64,89,12
2021-01-14,2021,14,1,18:00:00,24,36,1
2021-01-14,2021,14,1,19:00:00,8,0,0
2021-01-15,2021,15,1,08:00:00,3,0,0
2021-01-15,2021,15,1,09:00:00,15,19,4
2021-01-15,2021,15,1,10:00:00,64,103,4
2021-01-15,2021,15,1,11:00:00,47,57,7
2021-01-15,2021,15,1,12:00:00,51,39,10
2021-01-15,2021,15,1,13:00:00,82,82,11
2021-01-15,2021,15,1,14:00:00,121,73,16
2021-01-15,2021,15,1,15:00:00,161,102,18
2021-01-15,2021,15,1,16:00:00,95,67,14
2021-01-15,2021,15,1,17:00:00,178,140,15
2021-01-15,2021,15,1,18:00:00,28,98,6
2021-01-15,2021,15,1,20:00:00,1,0,0
2021-01-16,2021,16,1,07:00:00,5,0,0
2021-01-16,2021,16,1,08:00:00,4,0,0
2021-01-16,2021,16,1,09:00:00,63,42,4
2021-01-16,2021,16,1,10:00:00,188,157,19
2021-01-16,2021,16,1,11:00:00,435,389,7
2021-01-16,2021,16,1,12:00:00,159,283,6
2021-01-16,2021,16,1,13:00:00,223,191,8
2021-01-16,2021,16,1,14:00:00,179,165,31
2021-01-16,2021,16,1,15:00:00,193,256,21
2021-01-16,2021,16,1,16:00:00,123,178,13
2021-01-16,2021,16,1,17:00:00,74,80,7
2021-01-17,2021,17,1,09:00:00,3,0,0
2021-01-17,2021,17,1,13:00:00,5,0,0
2021-01-17,2021,17,1,14:00:00,5,0,0
2021-01-17,2021,17,1,16:00:00,12,0,0
2021-01-18,2021,18,1,08:00:00,8,0,0
2021-01-18,2021,18,1,10:00:00,3,0,0
2021-01-18,2021,18,1,12:00:00,9,0,0
2021-01-18,2021,18,1,13:00:00,11,0,0
2021-01-18,2021,18,1,14:00:00,1,0,0
2021-01-18,2021,18,1,15:00:00,5,0,0
2021-01-18,2021,18,1,16:00:00,9,0,0
2021-01-18,2021,18,1,17:00:00,3,0,0
2021-01-19,2021,19,1,06:00:00,1,0,0
2021-01-19,2021,19,1,07:00:00,3,0,0
2021-01-19,2021,19,1,08:00:00,17,0,0
2021-01-19,2021,19,1,09:00:00,100,19,7
2021-01-19,2021,19,1,10:00:00,136,102,10
2021-01-19,2021,19,1,11:00:00,66,102,5
2021-01-19,2021,19,1,12:00:00,100,81,7
2021-01-19,2021,19,1,13:00:00,187,177,15
2021-01-19,2021,19,1,14:00:00,145,95,43
2021-01-19,2021,19,1,15:00:00,254,299,18
2021-01-19,2021,19,1,16:00:00,174,179,13
2021-01-19,2021,19,1,17:00:00,59,96,5
2021-01-19,2021,19,1,18:00:00,1,0,0
2021-01-20,2021,20,1,06:00:00,1,0,0
2021-01-20,2021,20,1,07:00:00,7,0,0
2021-01-20,2021,20,1,08:00:00,35,0,0
2021-01-20,2021,20,1,09:00:00,128,51,5
2021-01-20,2021,20,1,10:00:00,174,196,4
2021-01-20,2021,20,1,11:00:00,237,80,4
2021-01-20,2021,20,1,12:00:00,72,87,9
2021-01-20,2021,20,1,13:00:00,186,208,12
2021-01-20,2021,20,1,14:00:00,316,259,29
2021-01-20,2021,20,1,15:00:00,284,289,39
2021-01-20,2021,20,1,16:00:00,124,225,19
2021-01-20,2021,20,1,17:00:00,111,154,3
2021-01-21,2021,21,1,08:00:00,4,0,0
